Constituency_No,Year,Position,Sex,Party,Votes,Age,Candidate_Type,Constituency_Name,Constituency_Type,Vote_Share_Percentage,Margin,Margin_Percentage,Incumbent
150,1985,3,m,RPK,16480,48.6,gen,LAKHANDUR,GEN,17.34,14667,15.43,False
151,1985,1,m,ICS,50356,48.6,gen,ARMORI,ST,68.43,31461,42.75,False
151,1985,2,m,INC,18895,48.6,gen,ARMORI,ST,25.68,14554,19.78,False
151,1985,3,m,RPK,4341,48.6,gen,ARMORI,ST,5.9,0,0.0,False
152,1985,1,m,JNP,28427,48.6,gen,GADCHIROLI,ST,45.81,868,1.4,False
152,1985,2,m,INC,27559,48.6,gen,GADCHIROLI,ST,44.41,24781,39.94,True
152,1985,3,m,IND,2778,48.6,gen,GADCHIROLI,ST,4.48,1069,1.72,False
153,1985,1,m,IND,33186,48.6,gen,SIRONCHA,ST,57.25,14441,24.91,False
153,1985,2,m,INC,18745,48.6,gen,SIRONCHA,ST,32.34,13893,23.97,True
153,1985,3,m,IND,4852,48.6,gen,SIRONCHA,ST,8.37,3666,6.32,False
154,1985,1,m,INC,39356,48.6,gen,RAJURA,GEN,50.8,17910,23.12,True
154,1985,2,m,ICS,21446,48.6,gen,RAJURA,GEN,27.68,15911,20.54,False
154,1985,3,m,IND,5535,48.6,gen,RAJURA,GEN,7.14,177,0.23,False
155,1985,1,m,INC,49099,48.6,gen,CHANDRAPUR,GEN,52.63,21966,23.55,False
155,1985,2,m,RPK,27133,48.6,gen,CHANDRAPUR,GEN,29.09,12263,13.15,False
155,1985,3,m,BJP,14870,48.6,gen,CHANDRAPUR,GEN,15.94,14175,15.2,False
156,1985,1,m,INC,36611,48.6,gen,SAOLI,GEN,45.95,9678,12.15,False
156,1985,2,f,BJP,26933,48.6,gen,SAOLI,GEN,33.8,19569,24.56,False
156,1985,3,m,RPK,7364,48.6,gen,SAOLI,GEN,9.24,2928,3.67,False
157,1985,1,m,ICS,41306,48.6,gen,BRAHMAPURI,GEN,41.24,15850,15.83,True
157,1985,2,m,IND,25456,48.6,gen,BRAHMAPURI,GEN,25.42,11212,11.19,False
157,1985,3,m,RPI,14244,48.6,gen,BRAHMAPURI,GEN,14.22,1133,1.13,False
158,1985,1,m,INC,45235,48.6,gen,CHIMUR,GEN,51.85,32227,36.94,False
158,1985,2,m,IND,13008,48.6,gen,CHIMUR,GEN,14.91,2304,2.64,False
158,1985,3,m,IND,10704,48.6,gen,CHIMUR,GEN,12.27,1460,1.67,False
159,1985,1,m,IND,36088,48.6,gen,BHADRAWATI,GEN,44.22,9891,12.12,False
159,1985,2,m,INC,26197,48.6,gen,BHADRAWATI,GEN,32.1,17862,21.89,True
159,1985,3,m,IND,8335,48.6,gen,BHADRAWATI,GEN,10.21,5859,7.18,False
160,1985,1,m,CPI,47507,48.6,gen,WANI,GEN,64.91,23808,32.53,False
160,1985,2,m,INC,23699,48.6,gen,WANI,GEN,32.38,22948,31.36,True
160,1985,3,f,IND,751,48.6,gen,WANI,GEN,1.03,144,0.2,False
161,1985,1,m,INC,33783,48.6,gen,RALEGAON,ST,61.94,17472,32.03,False
161,1985,2,m,ICS,16311,48.6,gen,RALEGAON,ST,29.91,12370,22.68,False
161,1985,3,m,IND,3941,48.6,gen,RALEGAON,ST,7.23,3434,6.3,False
162,1985,1,m,INC,43885,48.6,gen,KELAPUR,ST,72.14,26939,44.28,True
162,1985,2,m,BJP,16946,48.6,gen,KELAPUR,ST,27.86,0,0.0,False
163,1985,1,m,INC,38416,48.6,gen,YAVATMAL,GEN,64.7,28335,47.72,False
163,1985,2,m,ICS,10081,48.6,gen,YAVATMAL,GEN,16.98,4835,8.14,False
163,1985,3,m,RPI,5246,48.6,gen,YAVATMAL,GEN,8.83,1916,3.23,False
164,1985,1,m,INC,33594,48.6,gen,DARWHA,GEN,43.51,1683,2.18,False
164,1985,2,m,ICS,31911,48.6,gen,DARWHA,GEN,41.33,25707,33.29,False
164,1985,3,m,IND,6204,48.6,gen,DARWHA,GEN,8.03,3834,4.97,False
165,1985,1,m,INC,33416,48.6,gen,DIGRAS,GEN,43.23,9784,12.66,False
165,1985,2,m,ICS,23632,48.6,gen,DIGRAS,GEN,30.57,10063,13.02,False
165,1985,3,m,IND,13569,48.6,gen,DIGRAS,GEN,17.55,10658,13.79,False
166,1985,1,m,INC,55314,48.6,gen,PUSAD,GEN,59.96,34956,37.89,True
166,1985,2,m,ICS,20358,48.6,gen,PUSAD,GEN,22.07,7008,7.6,False
166,1985,3,m,IND,13350,48.6,gen,PUSAD,GEN,14.47,12548,13.6,False
167,1985,1,m,INC,41236,48.6,gen,UMARKHED,GEN,48.17,5144,6.01,False
167,1985,2,m,ICS,36092,48.6,gen,UMARKHED,GEN,42.16,29207,34.12,False
167,1985,3,m,IND,6885,48.6,gen,UMARKHED,GEN,8.04,6385,7.46,False
168,1985,1,m,INC,18613,48.6,gen,KINWAT,GEN,30.4,1275,2.08,True
168,1985,2,m,ICS,17338,48.6,gen,KINWAT,GEN,28.32,2865,4.68,False
168,1985,3,m,CPI,14473,48.6,gen,KINWAT,GEN,23.64,9559,15.61,False
169,1985,1,m,ICS,46365,48.6,gen,HADGAON,GEN,55.52,15492,18.55,False
169,1985,2,m,INC,30873,48.6,gen,HADGAON,GEN,36.97,26034,31.18,False
169,1985,3,m,IND,4839,48.6,gen,HADGAON,GEN,5.79,3992,4.78,False
170,1985,1,m,ICS,30462,48.6,gen,NANDED,GEN,33.68,3070,3.39,False
170,1985,2,m,INC,27392,48.6,gen,NANDED,GEN,30.28,12143,13.42,False
170,1985,3,m,IND,15249,48.6,gen,NANDED,GEN,16.86,5223,5.77,False
171,1985,1,m,INC,40658,48.6,gen,MUDKHED,GEN,62.18,25994,39.75,False
171,1985,2,m,BJP,14664,48.6,gen,MUDKHED,GEN,22.43,6591,10.08,False
171,1985,3,m,IND,8073,48.6,gen,MUDKHED,GEN,12.35,7265,11.11,False
172,1985,1,m,INC,30912,48.6,gen,BHOKAR,GEN,45.24,2343,3.43,False
172,1985,2,m,ICS,28569,48.6,gen,BHOKAR,GEN,41.81,20777,30.41,False
172,1985,3,m,CPI,7792,48.6,gen,BHOKAR,GEN,11.4,7374,10.79,False
173,1985,1,m,INC,46360,48.6,gen,BILOLI,GEN,52.36,9747,11.01,False
173,1985,2,m,ICS,36613,48.6,gen,BILOLI,GEN,41.35,34760,39.26,True
173,1985,3,m,IND,1853,48.6,gen,BILOLI,GEN,2.09,801,0.9,False
174,1985,1,m,INC,31238,48.6,gen,MUKHED,SC,47.26,13539,20.48,False
174,1985,2,m,IND,17699,48.6,gen,MUKHED,SC,26.78,7102,10.74,False
174,1985,3,m,ICS,10597,48.6,gen,MUKHED,SC,16.03,6627,10.03,True
175,1985,1,m,PWP,50461,48.6,gen,KANDHAR,GEN,61.26,19729,23.95,False
175,1985,2,m,INC,30732,48.6,gen,KANDHAR,GEN,37.31,29548,35.87,True
175,1985,3,m,IND,1184,48.6,gen,KANDHAR,GEN,1.44,0,0.0,False
176,1985,1,m,PWP,39287,48.6,gen,GANGAKHED,SC,61.97,19602,30.92,True
176,1985,2,m,INC,19685,48.6,gen,GANGAKHED,SC,31.05,18124,28.59,False
176,1985,3,m,IND,1561,48.6,gen,GANGAKHED,SC,2.46,725,1.14,False
177,1985,1,m,INC,37562,48.6,gen,SINGNAPUR,GEN,54.82,6607,9.64,False
177,1985,2,m,ICS,30955,48.6,gen,SINGNAPUR,GEN,45.18,0,0.0,False
178,1985,1,m,PWP,26335,48.6,gen,PARBHANI,GEN,37.56,3989,5.69,False
178,1985,2,f,INC,22346,48.6,gen,PARBHANI,GEN,31.87,9795,13.97,False
178,1985,3,m,IND,12551,48.6,gen,PARBHANI,GEN,17.9,8240,11.75,False
179,1985,1,m,INC,29698,48.6,gen,BASMATH,GEN,47.64,8522,13.67,False
179,1985,2,m,JNP,21176,48.6,gen,BASMATH,GEN,33.97,12019,19.28,False
179,1985,3,m,IND,9157,48.6,gen,BASMATH,GEN,14.69,7397,11.87,False
180,1985,1,f,INC,24042,48.6,gen,KALAMNURI,GEN,40.68,11725,19.84,True
180,1985,2,m,CPM,12317,48.6,gen,KALAMNURI,GEN,20.84,2841,4.81,False
180,1985,3,m,ICS,9476,48.6,gen,KALAMNURI,GEN,16.03,1068,1.81,False
181,1985,1,m,INC,38442,48.6,gen,HINGOLI,GEN,51.54,18357,24.61,False
181,1985,2,m,IND,20085,48.6,gen,HINGOLI,GEN,26.93,14018,18.79,False
181,1985,3,m,JNP,6067,48.6,gen,HINGOLI,GEN,8.13,23,0.03,False
182,1985,1,m,INC,33833,48.6,gen,JINTUR,GEN,45.47,8259,11.1,True
182,1985,2,m,PWP,25574,48.6,gen,JINTUR,GEN,34.37,14456,19.43,False
182,1985,3,m,IND,11118,48.6,gen,JINTUR,GEN,14.94,9138,12.28,False
183,1985,1,m,ICS,24011,48.6,gen,PATHRI,GEN,45.62,2408,4.57,False
183,1985,2,m,INC,21603,48.6,gen,PATHRI,GEN,41.04,19122,36.33,False
183,1985,3,m,IND,2481,48.6,gen,PATHRI,GEN,4.71,641,1.22,False
184,1985,1,m,ICS,46231,48.6,gen,PARTUR,GEN,62.83,21997,29.9,False
184,1985,2,m,INC,24234,48.6,gen,PARTUR,GEN,32.94,22839,31.04,False
184,1985,3,m,IND,1395,48.6,gen,PARTUR,GEN,1.9,309,0.42,False
185,1985,1,m,INC,31495,48.6,gen,AMBAD,GEN,48.34,9645,14.8,False
185,1985,2,m,JNP,21850,48.6,gen,AMBAD,GEN,33.53,14742,22.63,False
185,1985,3,m,IND,7108,48.6,gen,AMBAD,GEN,10.91,5087,7.81,False
186,1985,1,m,INC,23809,48.6,gen,JALNA,GEN,35.88,8310,12.52,False
186,1985,2,m,JNP,15499,48.6,gen,JALNA,GEN,23.35,1673,2.52,False
186,1985,3,m,IND,13826,48.6,gen,JALNA,GEN,20.83,5601,8.44,False
187,1985,1,m,ICS,39747,48.6,gen,BADNAPUR,GEN,54.31,14583,19.92,False
187,1985,2,m,INC,25164,48.6,gen,BADNAPUR,GEN,34.38,22130,30.24,False
187,1985,3,m,IND,3034,48.6,gen,BADNAPUR,GEN,4.15,842,1.15,False
188,1985,1,m,INC,39446,48.6,gen,BHOKARDAN,GEN,50.02,1568,1.99,False
188,1985,2,m,BJP,37878,48.6,gen,BHOKARDAN,GEN,48.03,36346,46.09,False
188,1985,3,m,IND,1532,48.6,gen,BHOKARDAN,GEN,1.94,0,0.0,False
189,1985,1,m,INC,34377,48.6,gen,SILLOD,GEN,43.86,9876,12.6,True
189,1985,2,m,ICS,24501,48.6,gen,SILLOD,GEN,31.26,6673,8.51,False
189,1985,3,m,IND,17828,48.6,gen,SILLOD,GEN,22.75,16824,21.47,True
190,1985,1,m,ICS,29462,48.6,gen,KANNAD,GEN,37.29,9684,12.26,False
190,1985,2,m,INC,19778,48.6,gen,KANNAD,GEN,25.04,5685,7.2,False
190,1985,3,m,CPI,14093,48.6,gen,KANNAD,GEN,17.84,3922,4.96,False
191,1985,1,m,ICS,37911,48.6,gen,VAIJAPUR,GEN,50.78,2294,3.07,False
191,1985,2,m,INC,35617,48.6,gen,VAIJAPUR,GEN,47.71,34850,46.68,False
191,1985,3,m,IND,767,48.6,gen,VAIJAPUR,GEN,1.03,410,0.55,False
192,1985,1,m,ICS,32435,48.6,gen,GANGAPUR,GEN,46.78,5678,8.19,False
192,1985,2,m,INC,26757,48.6,gen,GANGAPUR,GEN,38.59,22247,32.09,False
192,1985,3,m,CPI,4510,48.6,gen,GANGAPUR,GEN,6.51,1783,2.57,False
193,1985,1,m,ICS,41235,48.6,gen,AURANGABAD WEST,GEN,38.47,386,0.36,False
193,1985,2,m,INC,40849,48.6,gen,AURANGABAD WEST,GEN,38.11,29950,27.94,False
193,1985,3,m,IND,10899,48.6,gen,AURANGABAD WEST,GEN,10.17,3606,3.36,False
194,1985,1,m,BJP,32174,48.6,gen,AURANGABAD EAST,GEN,42.61,6071,8.04,False
194,1985,2,m,INC,26103,48.6,gen,AURANGABAD EAST,GEN,34.57,20652,27.35,False
194,1985,3,m,IND,5451,48.6,gen,AURANGABAD EAST,GEN,7.22,617,0.82,False
195,1985,1,m,ICS,30124,48.6,gen,PAITHAN,GEN,46.23,8308,12.75,False
195,1985,2,m,INC,21816,48.6,gen,PAITHAN,GEN,33.48,16868,25.89,False
195,1985,3,m,IND,4948,48.6,gen,PAITHAN,GEN,7.59,1080,1.66,False
196,1985,1,m,ICS,47844,48.6,gen,GEORAI,GEN,57.4,14669,17.6,False
196,1985,2,m,INC,33175,48.6,gen,GEORAI,GEN,39.8,32370,38.84,True
196,1985,3,m,IND,805,48.6,gen,GEORAI,GEN,0.97,36,0.04,False
197,1985,1,m,ICS,37200,48.6,gen,MANJLEGAON,GEN,45.83,1869,2.3,False
197,1985,2,m,INC,35331,48.6,gen,MANJLEGAON,GEN,43.53,30619,37.72,False
197,1985,3,m,CPM,4712,48.6,gen,MANJLEGAON,GEN,5.8,2570,3.17,False
198,1985,1,m,INC,24581,48.6,gen,BEED,GEN,35.05,3239,4.62,False
198,1985,2,m,IND,21342,48.6,gen,BEED,GEN,30.43,12141,17.31,True
198,1985,3,m,ICS,9201,48.6,gen,BEED,GEN,13.12,4612,6.58,False
199,1985,1,m,INC,40814,48.6,gen,ASHTI,GEN,56.76,15434,21.46,True
199,1985,2,f,ICS,25380,48.6,gen,ASHTI,GEN,35.3,22024,30.63,False
199,1985,3,m,CPI,3356,48.6,gen,ASHTI,GEN,4.67,2134,2.97,False
200,1985,1,m,INC,21967,48.6,gen,CHAUSALA,GEN,31.33,2724,3.89,False
200,1985,2,m,IND,19243,48.6,gen,CHAUSALA,GEN,27.45,1534,2.19,False
200,1985,3,m,PWP,17709,48.6,gen,CHAUSALA,GEN,25.26,12086,17.24,False
201,1985,1,m,ICS,32967,48.6,gen,KAIJ,SC,50.29,8871,13.53,False
201,1985,2,m,INC,24096,48.6,gen,KAIJ,SC,36.75,21520,32.83,False
201,1985,3,m,IND,2576,48.6,gen,KAIJ,SC,3.93,709,1.08,False
202,1985,1,m,INC,35718,48.6,gen,RENAPUR,GEN,40.97,2651,3.04,False
202,1985,2,m,BJP,33067,48.6,gen,RENAPUR,GEN,37.93,22494,25.8,True
202,1985,3,m,IND,10573,48.6,gen,RENAPUR,GEN,12.13,7231,8.29,False
203,1985,1,m,INC,33690,48.6,gen,AHMEDPUR,GEN,46.75,2221,3.08,False
203,1985,2,m,PWP,31469,48.6,gen,AHMEDPUR,GEN,43.66,27307,37.89,True
203,1985,3,m,IND,4162,48.6,gen,AHMEDPUR,GEN,5.77,2395,3.32,False
204,1985,1,m,INC,46231,48.6,gen,UDGIR,GEN,52.98,7165,8.21,True
204,1985,2,m,IND,39066,48.6,gen,UDGIR,GEN,44.77,37624,43.12,False
204,1985,3,m,ICS,1442,48.6,gen,UDGIR,GEN,1.65,1081,1.24,False
205,1985,1,m,INC,27474,48.6,gen,HER,SC,48.34,5417,9.53,False
205,1985,2,m,JNP,22057,48.6,gen,HER,SC,38.81,18014,31.69,False
205,1985,3,m,IND,4043,48.6,gen,HER,SC,7.11,3353,5.9,False
206,1985,1,m,INC,69599,48.6,gen,LATUR,GEN,63.58,40296,36.81,True
206,1985,2,m,JNP,29303,48.6,gen,LATUR,GEN,26.77,21977,20.08,False
206,1985,3,m,IND,7326,48.6,gen,LATUR,GEN,6.69,6406,5.85,False
207,1985,1,m,PWP,37406,48.6,gen,KALAMB,SC,53.41,19993,28.54,False
207,1985,2,m,INC,17413,48.6,gen,KALAMB,SC,24.86,11686,16.68,True
207,1985,3,m,IND,5727,48.6,gen,KALAMB,SC,8.18,1445,2.06,False
208,1985,1,m,ICS,39755,48.6,gen,PARANDA,GEN,45.61,13018,14.94,False
208,1985,2,m,INC,26737,48.6,gen,PARANDA,GEN,30.67,15434,17.71,False
208,1985,3,m,IND,11303,48.6,gen,PARANDA,GEN,12.97,2336,2.68,False
209,1985,1,m,ICS,52197,48.6,gen,OSMANABAD,GEN,56.81,14468,15.75,True
209,1985,2,m,INC,37729,48.6,gen,OSMANABAD,GEN,41.06,36588,39.82,False
209,1985,3,m,IND,1141,48.6,gen,OSMANABAD,GEN,1.24,323,0.35,False
210,1985,1,m,ICS,42670,48.6,gen,AUSA,GEN,55.57,14454,18.82,False
210,1985,2,m,INC,28216,48.6,gen,AUSA,GEN,36.74,25656,33.41,True
210,1985,3,m,IND,2560,48.6,gen,AUSA,GEN,3.33,543,0.71,False
211,1985,1,m,INC,61946,48.6,gen,NILANGA,GEN,68.84,39555,43.95,False
211,1985,2,m,PWP,22391,48.6,gen,NILANGA,GEN,24.88,19908,22.12,False
211,1985,3,m,IND,2483,48.6,gen,NILANGA,GEN,2.76,703,0.78,False
212,1985,1,m,INC,40925,48.6,gen,OMERGA,GEN,50.16,2091,2.56,False
212,1985,2,m,ICS,38834,48.6,gen,OMERGA,GEN,47.59,37801,46.33,False
212,1985,3,m,IND,1033,48.6,gen,OMERGA,GEN,1.27,228,0.28,False
213,1985,1,m,PWP,42553,48.6,gen,TULJAPUR,GEN,56.67,11230,14.96,False
213,1985,2,m,INC,31323,48.6,gen,TULJAPUR,GEN,41.72,30699,40.88,True
213,1985,3,m,IND,624,48.6,gen,TULJAPUR,GEN,0.83,36,0.05,False
214,1985,1,m,INC,41817,48.6,gen,AKKALKOT,GEN,61.84,18232,26.96,False
214,1985,2,m,BJP,23585,48.6,gen,AKKALKOT,GEN,34.88,22214,32.85,False
214,1985,3,m,IND,1371,48.6,gen,AKKALKOT,GEN,2.03,621,0.92,False
215,1985,1,m,INC,41404,48.6,gen,SOUTH SOLAPUR,GEN,60.3,16713,24.34,False
215,1985,2,m,JNP,24691,48.6,gen,SOUTH SOLAPUR,GEN,35.96,22550,32.84,False
215,1985,3,m,IND,2141,48.6,gen,SOUTH SOLAPUR,GEN,3.12,1712,2.49,False
216,1985,1,m,INC,32959,48.6,gen,SOLAPUR CITY SOUTH,GEN,45.92,6719,9.36,False
216,1985,2,m,ICS,26240,48.6,gen,SOLAPUR CITY SOUTH,GEN,36.56,19991,27.85,False
216,1985,3,m,CPM,6249,48.6,gen,SOLAPUR CITY SOUTH,GEN,8.71,1075,1.5,False
217,1985,1,m,INC,38370,48.6,gen,SOLAPUR CITY NORTH,GEN,57.85,15068,22.72,True
217,1985,2,m,BJP,23302,48.6,gen,SOLAPUR CITY NORTH,GEN,35.13,18650,28.12,False
217,1985,3,m,IND,4652,48.6,gen,SOLAPUR CITY NORTH,GEN,7.01,0,0.0,False
218,1985,1,m,INC,63475,48.6,gen,NORTH SOLAPUR,SC,82.88,50362,65.76,True
218,1985,2,m,IND,13113,48.6,gen,NORTH SOLAPUR,SC,17.12,0,0.0,False
219,1985,1,m,ICS,43944,48.6,gen,MANGALVEDHE,SC,60.0,15554,21.24,False
219,1985,2,f,INC,28390,48.6,gen,MANGALVEDHE,SC,38.76,27766,37.91,False
219,1985,3,m,IND,624,48.6,gen,MANGALVEDHE,SC,0.85,341,0.47,False
220,1985,1,m,INC,42919,48.6,gen,MOHOL,GEN,50.1,167,0.19,False
220,1985,2,m,PWP,42752,48.6,gen,MOHOL,GEN,49.9,0,0.0,False
221,1985,1,m,ICS,42822,48.6,gen,BARSHI,GEN,55.59,9853,12.79,False
221,1985,2,m,INC,32969,48.6,gen,BARSHI,GEN,42.8,32581,42.3,False
221,1985,3,m,IND,388,48.6,gen,BARSHI,GEN,0.5,126,0.16,False
222,1985,1,m,IND,38760,48.6,gen,MADHA,GEN,45.78,8870,10.48,False
222,1985,2,m,INC,29890,48.6,gen,MADHA,GEN,35.3,14186,16.75,False
222,1985,3,m,PWP,15704,48.6,gen,MADHA,GEN,18.55,15388,18.17,False
223,1985,1,m,INC,60817,48.6,gen,PANDHARPUR,GEN,55.5,13644,12.45,False
223,1985,2,m,ICS,47173,48.6,gen,PANDHARPUR,GEN,43.05,46330,42.28,False
223,1985,3,m,IND,843,48.6,gen,PANDHARPUR,GEN,0.77,515,0.47,False
224,1985,1,m,PWP,54816,48.6,gen,SANGOLE,GEN,54.41,8893,8.83,False
224,1985,2,m,INC,45923,48.6,gen,SANGOLE,GEN,45.59,0,0.0,False
225,1985,1,m,INC,89397,48.6,gen,MALSHIRAS,GEN,83.35,72762,67.84,True
225,1985,2,m,ICS,16635,48.6,gen,MALSHIRAS,GEN,15.51,16058,14.97,False
225,1985,3,m,IND,577,48.6,gen,MALSHIRAS,GEN,0.54,61,0.06,False
226,1985,1,m,IND,34511,48.6,gen,KARMALA,GEN,54.06,10555,16.53,False
226,1985,2,m,INC,23956,48.6,gen,KARMALA,GEN,37.52,20929,32.78,False
226,1985,3,m,JNP,3027,48.6,gen,KARMALA,GEN,4.74,824,1.29,False
227,1985,1,m,INC,21668,48.6,gen,KARJAT,SC,34.16,3552,5.6,False
227,1985,2,m,IND,18116,48.6,gen,KARJAT,SC,28.56,1216,1.92,False
227,1985,3,f,JNP,16900,48.6,gen,KARJAT,SC,26.64,14602,23.02,False
228,1985,1,m,JNP,57258,48.6,gen,SHRIGONDA,GEN,57.73,19014,19.17,True
228,1985,2,m,INC,38244,48.6,gen,SHRIGONDA,GEN,38.56,36298,36.6,False
228,1985,3,m,IND,1946,48.6,gen,SHRIGONDA,GEN,1.96,1035,1.04,False
229,1985,1,m,ICS,49929,48.6,gen,AHMEDNAGAR SOUTH,GEN,62.6,23949,30.02,False
229,1985,2,m,INC,25980,48.6,gen,AHMEDNAGAR SOUTH,GEN,32.57,24317,30.49,False
229,1985,3,m,IND,1663,48.6,gen,AHMEDNAGAR SOUTH,GEN,2.08,511,0.64,False
230,1985,1,m,INC,46137,48.6,gen,AHMEDNAGAR NORTH,GEN,56.3,29041,35.44,True
230,1985,2,m,ICS,17096,48.6,gen,AHMEDNAGAR NORTH,GEN,20.86,830,1.01,False
230,1985,3,m,IND,16266,48.6,gen,AHMEDNAGAR NORTH,GEN,19.85,15234,18.59,False
231,1985,1,m,JNP,43977,48.6,gen,PATHARDI,GEN,52.57,7754,9.27,True
231,1985,2,m,INC,36223,48.6,gen,PATHARDI,GEN,43.3,34562,41.31,False
231,1985,3,m,IND,1661,48.6,gen,PATHARDI,GEN,1.99,226,0.27,False
232,1985,1,m,INC,32915,48.6,gen,SHEOGAON,GEN,48.64,15250,22.53,True
232,1985,2,m,ICS,17665,48.6,gen,SHEOGAON,GEN,26.1,1661,2.45,False
232,1985,3,m,CPI,16004,48.6,gen,SHEOGAON,GEN,23.65,15430,22.8,False
233,1985,1,m,ICS,32929,48.6,gen,SHRIRAMPUR,GEN,48.94,6249,9.29,False
233,1985,2,m,INC,26680,48.6,gen,SHRIRAMPUR,GEN,39.65,23688,35.2,False
233,1985,3,m,IND,2992,48.6,gen,SHRIRAMPUR,GEN,4.45,255,0.38,False
234,1985,1,m,INC,41353,48.6,gen,SHIRDI,GEN,52.13,5284,6.66,True
234,1985,2,m,ICS,36069,48.6,gen,SHIRDI,GEN,45.47,35474,44.72,False
234,1985,3,m,IND,595,48.6,gen,SHIRDI,GEN,0.75,118,0.15,False
235,1985,1,m,INC,42028,48.6,gen,KOPARGAON,GEN,54.87,8807,11.5,False
235,1985,2,m,ICS,33221,48.6,gen,KOPARGAON,GEN,43.37,32080,41.88,False
235,1985,3,m,RPI,1141,48.6,gen,KOPARGAON,GEN,1.49,932,1.22,False
236,1985,1,m,IND,47043,48.6,gen,RAHURI,GEN,54.51,23382,27.09,True
236,1985,2,m,ICS,23661,48.6,gen,RAHURI,GEN,27.42,9610,11.14,False
236,1985,3,m,INC,14051,48.6,gen,RAHURI,GEN,16.28,12825,14.86,False
237,1985,1,m,INC,21155,48.6,gen,PARNER,GEN,34.05,957,1.54,False
237,1985,2,m,IND,20198,48.6,gen,PARNER,GEN,32.51,2100,3.38,True
237,1985,3,m,ICS,18098,48.6,gen,PARNER,GEN,29.13,16908,27.22,False
238,1985,1,m,IND,40218,48.6,gen,SANGAMNER,GEN,44.4,10159,11.22,False
238,1985,2,f,INC,30059,48.6,gen,SANGAMNER,GEN,33.19,14851,16.4,False
238,1985,3,m,ICS,15208,48.6,gen,SANGAMNER,GEN,16.79,12073,13.33,False
239,1985,1,m,INC,36261,48.6,gen,NAGAR-AKOLA,ST,50.98,10378,14.59,True
239,1985,2,m,ICS,25883,48.6,gen,NAGAR-AKOLA,ST,36.39,19993,28.11,False
239,1985,3,m,CPI,5890,48.6,gen,NAGAR-AKOLA,ST,8.28,3968,5.58,False
240,1985,1,m,ICS,41840,48.6,gen,JUNNAR,GEN,51.27,3428,4.2,False
240,1985,2,m,INC,38412,48.6,gen,JUNNAR,GEN,47.07,37627,46.11,False
240,1985,3,m,IND,785,48.6,gen,JUNNAR,GEN,0.96,220,0.27,False
241,1985,1,m,JNP,35297,48.6,gen,AMBEGAON,GEN,58.14,15767,25.97,True
241,1985,2,f,INC,19530,48.6,gen,AMBEGAON,GEN,32.17,15777,25.99,False
241,1985,3,m,IND,3753,48.6,gen,AMBEGAON,GEN,6.18,2899,4.77,False
242,1985,1,m,ICS,48758,48.6,gen,KHED-ALANDI,GEN,60.74,20432,25.45,False
242,1985,2,m,INC,28326,48.6,gen,KHED-ALANDI,GEN,35.28,27109,33.77,False
242,1985,3,m,IND,1217,48.6,gen,KHED-ALANDI,GEN,1.52,312,0.39,False
243,1985,1,m,INC,37028,48.6,gen,MAVAL,GEN,47.76,6957,8.97,False
243,1985,2,m,BJP,30071,48.6,gen,MAVAL,GEN,38.79,25123,32.41,False
243,1985,3,m,IND,4948,48.6,gen,MAVAL,GEN,6.38,1810,2.33,False
244,1985,1,m,INC,45160,48.6,gen,MULSHI,GEN,56.79,11117,13.98,False
244,1985,2,m,ICS,34043,48.6,gen,MULSHI,GEN,42.81,33723,42.41,False
244,1985,3,m,IND,320,48.6,gen,MULSHI,GEN,0.4,0,0.0,False
245,1985,1,m,INC,60706,48.6,gen,HAVELI,GEN,47.38,12654,9.88,False
245,1985,2,m,JNP,48052,48.6,gen,HAVELI,GEN,37.5,41767,32.6,False
245,1985,3,m,IND,6285,48.6,gen,HAVELI,GEN,4.9,2916,2.28,False
246,1985,1,m,ICS,33625,48.6,gen,BOPODI,GEN,51.94,10628,16.42,False
246,1985,2,m,INC,22997,48.6,gen,BOPODI,GEN,35.52,18367,28.37,False
246,1985,3,m,IND,4630,48.6,gen,BOPODI,GEN,7.15,3485,5.38,False
247,1985,1,m,BJP,48969,48.6,gen,SHIVAJINAGAR,GEN,49.04,111,0.11,True
247,1985,2,m,INC,48858,48.6,gen,SHIVAJINAGAR,GEN,48.92,48483,48.55,False
247,1985,3,m,LKD,375,48.6,gen,SHIVAJINAGAR,GEN,0.38,6,0.01,False
248,1985,1,m,INC,42836,48.6,gen,PARVATI,SC,46.56,8319,9.04,False
248,1985,2,m,BJP,34517,48.6,gen,PARVATI,SC,37.52,26790,29.12,False
248,1985,3,m,IND,7727,48.6,gen,PARVATI,SC,8.4,3446,3.75,False
249,1985,1,m,INC,35588,48.6,gen,KASBA PETH,GEN,48.03,4267,5.76,False
249,1985,2,m,BJP,31321,48.6,gen,KASBA PETH,GEN,42.27,25341,34.2,True
249,1985,3,m,IND,5980,48.6,gen,KASBA PETH,GEN,8.07,5636,7.61,False
250,1985,1,m,IND,34745,48.6,gen,BHAVANI PETH,GEN,49.24,9846,13.95,False
250,1985,2,m,JNP,24899,48.6,gen,BHAVANI PETH,GEN,35.28,21578,30.58,False
250,1985,3,m,IND,3321,48.6,gen,BHAVANI PETH,GEN,4.71,336,0.48,False
251,1985,1,m,JNP,44997,48.6,gen,PUNE CANTONMENT,GEN,48.25,177,0.19,True
251,1985,2,m,INC,44820,48.6,gen,PUNE CANTONMENT,GEN,48.06,43032,46.14,False
