Paragraph,cleaned_text
SQL Server Bootcamp 2024: Transform from Beginner to Pro,sql server bootcamp transform beginner pro
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Strategy,strategy
ESG and Business Sustainability Strategy,esg business sustainability strategy
"By - Vipul Arora, Partner, ESG & Climate Solutions at Sattva Consulting Author I Speaker I Thought Leader",vipul arora partner esg climate solution sattva consulting author speaker thought leader
Artificial Intelligence(AI),artificial intelligenceai
AI-Powered Python Mastery with Tabnine: Boost Your Coding Skills,aipowered python mastery tabnine boost coding skill
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
"Intermediate C++ Skills: Master Pointers, Structures and File Stream",intermediate skill master pointer structure file stream
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
"Intermediate Java Mastery: Method, Collections, and Beyond",intermediate java mastery method collection beyond
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
C++ Fundamentals for Absolute Beginners,c fundamental absolute beginner
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Artificial Intelligence(AI),artificial intelligenceai
ChatGPT Mastery from Zero to Hero: The Complete AI Course,chatgpt mastery zero hero complete ai course
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
This is a modal window.,modal window
Beginning of dialog window. Escape will cancel and close the window.,beginning dialog window escape cancel close window
End of dialog window.,end dialog window
"(Catch all the Business News, Breaking News, Budget 2024 Events and Latest News Updates on The Economic Times.)",catch business news breaking news budget event latest news update economic time
Subscribe to The Economic Times Prime and read the ET ePaper online.,subscribe economic time prime read et epaper online
MEA blasts Canadian govt over surveillance on Indian diplomats,mea blast canadian govt surveillance indian diplomat
"India-China disengagement: 'Verification patrolling begins...,'",indiachina disengagement verification patrolling begin
"‘Maal’ jibe: Shaina blasts Raut, MVA for defending Sawant",maal jibe shaina blast raut mva defending sawant
India denies minister plotted anti-Khalistan attacks in Canada,india denies minister plotted antikhalistan attack canada
US elections: Indo-Americans explain why Polls matter,u election indoamericans explain poll matter
"Anantnag encounter: 2 terrorists neutralised, massive ops underway",anantnag encounter terrorist neutralised massive ops underway
'Grossly incompetent with very low IQ': Trump on Kamala,grossly incompetent low iq trump kamala
CM Shinde slams Arvind Sawant for his 'imported maal' remark,cm shinde slam arvind sawant imported maal remark
Donald Trump attacks Liz Cheney using violent war imagery,donald trump attack liz cheney using violent war imagery
Smoke billows out from Lebanon's Tyre following Israeli strikes,smoke billow lebanon tyre following israeli strike
MEA blasts Canadian govt over surveillance on Indian diplomats,mea blast canadian govt surveillance indian diplomat
"India-China disengagement: 'Verification patrolling begins...,'",indiachina disengagement verification patrolling begin
"‘Maal’ jibe: Shaina blasts Raut, MVA for defending Sawant",maal jibe shaina blast raut mva defending sawant
India denies minister plotted anti-Khalistan attacks in Canada,india denies minister plotted antikhalistan attack canada
US elections: Indo-Americans explain why Polls matter,u election indoamericans explain poll matter
"Anantnag encounter: 2 terrorists neutralised, massive ops underway",anantnag encounter terrorist neutralised massive ops underway
'Grossly incompetent with very low IQ': Trump on Kamala,grossly incompetent low iq trump kamala
CM Shinde slams Arvind Sawant for his 'imported maal' remark,cm shinde slam arvind sawant imported maal remark
Donald Trump attacks Liz Cheney using violent war imagery,donald trump attack liz cheney using violent war imagery
Smoke billows out from Lebanon's Tyre following Israeli strikes,smoke billow lebanon tyre following israeli strike
Hot on Web,hot web
In Case you missed it,case missed
Top Searched Companies,top searched company
Top Calculators,top calculator
Top Definitions,top definition
Top Slideshow,top slideshow
Top Prime Articles,top prime article
Private Companies,private company
Top Commodities,top commodity
Top Story Listing,top story listing
Latest News,latest news
Follow us on:,follow u
Find this comment offensive?,find comment offensive
Choose your reason below and click on the Report button. This will alert our moderators to take action,choose reason click report button alert moderator take action
Reason for reporting:,reason reporting
Your Reason has been Reported to the admin.,reason reported admin
Log In/Connect with:,log inconnect
Will be displayed,displayed
Will not be displayed,displayed
Will be displayed,displayed
Worry not. You’re just a step away.,worry youre step away
It seems like you're already an ETPrime member with,seems like youre already etprime member
Login using your ET Prime credentials to enjoy all member benefits,login using et prime credential enjoy member benefit
Log out of your current logged-in account  and log in again using your ET Prime credentials  to enjoy all member benefits.,log current loggedin account log using et prime credential enjoy member benefit
,
"To read full story, subscribe to ET Prime",read full story subscribe et prime
₹34 per week,per week
"
                    Billed annually at 
                    ₹2499 ₹1749",billed annually
Super Saver Sale - Flat 30% Off,super saver sale flat
On ET Prime Membership,et prime membership
90 Days Prime access worth Rs999 unlocked for you,day prime access worth r unlocked
"Exclusive Economic Times Stories, Editorials & Expert opinion across 20+ sectors",exclusive economic time story editorial expert opinion across sector
Stock analysis. Market Research. Industry Trends on 4000+ Stocks,stock analysis market research industry trend stock
​Get 1 Year Complimentary Subscription of TOI+ worth Rs.799/-​,get year complimentary subscription toi worth r
Stories you might be interested in,story might interested
LoadingPlease wait...,loadingplease wait
"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising.",cooky may set site advertising partner may used company build profile interest show relevant advert site store directly personal information based uniquely identifying browser internet device allow cooky experience le targeted advertising
These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly.,cooky enable website provide enhanced functionality personalisation may set u third party provider whose service added page allow cooky service may function properly
"These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance.",cooky allow u count visit traffic source measure improve performance site help u know page least popular see visitor move around site information cooky collect aggregated therefore anonymous allow cooky know visited site able monitor performance
"These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",cooky necessary website function switched system usually set response action made amount request service setting privacy preference logging filling form set browser block alert cooky part site work cooky store personally identifiable information
,
To enjoy additional benefits,enjoy additional benefit
CONNECT WITH US,connect u
" Published - November 04, 2024 04:42 pm IST - Mumbai",published november pm ist mumbai
"
                    IPS officer and Maharashtra DGP Rashmi Shukla. FIle
                                          | Photo Credit: PTI
                                      ",ip officer maharashtra dgp rashmi shukla file photo credit pti
"NCP (SP) chief Sharad Pawar and his MVA allies Shiv Sena (UBT) and Congress on Monday (November 4, 2024) welcomed the Election Commission’s move to direct the Maharashtra government to transfer DGP Rashmi Shukla with immediate effect.",ncp sp chief sharad pawar mva ally shiv sena ubt congress monday november welcomed election commission move direct maharashtra government transfer dgp rashmi shukla immediate effect
"The EC, which took the decision after complaints from political parties, directed the Maharashtra Chief Secretary to hand over Ms. Shukla’s charge to the next senior-most IPS officer in the cadre. “The Chief Secretary was also directed to send a panel of three IPS officers by Tuesday (November 5, 2024) afternoon for appointment as DGP,” sources said.",ec took decision complaint political party directed maharashtra chief secretary hand m shuklas charge next seniormost ip officer cadre chief secretary also directed send panel three ip officer tuesday november afternoon appointment dgp source said
"“The Chief Secretary has asked Mumbai police commissioner to hold the additional charge of the post,” they said.",chief secretary asked mumbai police commissioner hold additional charge post said
"“The Election Commission has taken the right decision. Such persons should not continue in the post,” Mr. Pawar told reporters in Mumbai.",election commission taken right decision person continue post mr pawar told reporter mumbai
"""It was absolutely inappropriate to keep her in the position and grant her extensions. It's a positive development that the EC moved to remove her. Her tenure in the state had already come to an end,"" the former Union Minister said.",absolutely inappropriate keep position grant extension positive development ec moved remove tenure state already come end former union minister said
"Shiv Sena (UBT) leader Uddhav Thackeray, who was present at the media briefing, also welcomed the EC's decision on Ms. Shukla.",shiv sena ubt leader uddhav thackeray present medium briefing also welcomed ec decision m shukla
"Briefing reporters in Nagpur, state Congress president Nana Patole said his party had approached the EC three times seeking Ms.cShukla’s transfer, citing her alleged role in tapping phones of opposition politicians, and asked why it took so long for the poll body to take the decision.",briefing reporter nagpur state congress president nana patole said party approached ec three time seeking mscshuklas transfer citing alleged role tapping phone opposition politician asked took long poll body take decision
He requested the EC to ensure Ms. Shukla is not given any election-related duties.,requested ec ensure m shukla given electionrelated duty
"""Ms. Shukla used to support the BJP and had tapped the phones of opposition leaders and we had filed complaints against her. We had been continuously demanding from the state government not to give important posts to such an officer,"" the Congress leader said.",m shukla used support bjp tapped phone opposition leader filed complaint continuously demanding state government give important post officer congress leader said
"However, Mr. Patole alleged that (Deputy Chief Minister) Devendra Fadnavis and (CM) Shinde gave her an ""illegal"" two-year extension and made her DGP for their own electoral interests.",however mr patole alleged deputy chief minister devendra fadnavis cm shinde gave illegal twoyear extension made dgp electoral interest
"""Hence, we had complained to the Election Commission and it took cognizance of our complaint. But, the question arises why it took so long,"" the Congress leader said while thanking the EC for its decision.",hence complained election commission took cognizance complaint question arises took long congress leader said thanking ec decision
"The DGPs of West Bengal and Jharkhand were transferred immediately after the announcement of elections there, Mr. Patole said.",dgps west bengal jharkhand transferred immediately announcement election mr patole said
"""Why it took so long for the Election Commission to transfer Maharashtra DGP Shukla?"" he asked.",took long election commission transfer maharashtra dgp shukla asked
"On Maratha quota activist Manoj Jarange’s decision to stay away from the November 20 assembly polls, Mr. Pawar said nobody from the  Maha Vikas Aghadi (MVA) has anything to do with Jarange’s decision.",maratha quota activist manoj jaranges decision stay away november assembly poll mr pawar said nobody maha vikas aghadi mva anything jaranges decision
"""We are pleased to hear that Manoj Jarange has decided to withdraw from the Maharashtra assembly elections. Had he chosen to continue his campaign, it could have inadvertently benefited the BJP in the election process. Therefore, we wholeheartedly welcome his decision,"" he said.",pleased hear manoj jarange decided withdraw maharashtra assembly election chosen continue campaign could inadvertently benefited bjp election process therefore wholeheartedly welcome decision said
"Asked if MVA leaders were secretly helping Jarange to continue his tirade against the BJP, Mr. Pawar said, ""As MVA, we want to clarify that we are not involved in Jarange's choices. However, we welcomed his decision to withdraw the candidates, as it may have benefited the BJP in the upcoming Maharashtra assembly elections."" ",asked mva leader secretly helping jarange continue tirade bjp mr pawar said mva want clarify involved jaranges choice however welcomed decision withdraw candidate may benefited bjp upcoming maharashtra assembly election
Maharashtra goes to polls on November 20.,maharashtra go poll november
" Published - November 04, 2024 04:42 pm IST",published november pm ist
"
                        Maharashtra
                    
                            /                      
                        
                        Mumbai
                    
                            /                      
                        
                        India
                    
                            /                      
                        
                        politics
                    
                            /                      
                        
                        state politics
                    ",maharashtra mumbai india politics state politics
"
					Copyright© 2024, THG PUBLISHING PVT LTD. or its affiliated companies. All rights reserved.
				",copyright thg publishing pvt ltd affiliated company right reserved
BACK TO TOP,back top
Terms & conditions  |  Institutional Subscriber,term condition institutional subscriber
"Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines   for posting your comments. ",comment english full sentence abusive personal please abide community guideline posting comment
"We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",migrated new commenting platform already registered user hindu logged may continue engage article account please register login post comment user access older comment logging account vuukle
To enjoy additional benefits,enjoy additional benefit
CONNECT WITH US,connect u
"Updated  - October 30, 2024 11:16 am IST - Mumbai",updated october ist mumbai
"
                    The ruling BJP is contesting 148 assembly seats in Maharashtra, the highest among half a dozen major political parties in the ruling and opposition camps, followed by the Congress which is contesting 103 seats. File
                                          | Photo Credit: PTI
                                      ",ruling bjp contesting assembly seat maharashtra highest among half dozen major political party ruling opposition camp followed congress contesting seat file photo credit pti
"The ruling BJP is contesting 148 assembly seats in Maharashtra, the highest among half a dozen major political parties in the ruling and opposition camps, followed by the Congress which is contesting 103 seats.",ruling bjp contesting assembly seat maharashtra highest among half dozen major political party ruling opposition camp followed congress contesting seat
"Nearly 8,000 candidates, including those from major political parties in the ruling Mahyuti as well as the opposition Maha Vikas Aghadi (MVA), filed nominations for the 288 assembly seats in Maharashtra at the end of the process on Tuesday (October 29, 2024).",nearly candidate including major political party ruling mahyuti well opposition maha vikas aghadi mva filed nomination assembly seat maharashtra end process tuesday october
"Chief Minister Eknath Shinde-led Shiv Sena has fielded candidates in 80 seats, while Deputy CM Ajit Pawar's NCP has nominated 53 contestants for the November 20 polls. Five seats were given to other Mahayuti allies while no decision was taken on two segments.",chief minister eknath shindeled shiv sena fielded candidate seat deputy cm ajit pawars ncp nominated contestant november poll five seat given mahayuti ally decision taken two segment
"In the MVA, the Congress is contesting 103 seats followed by the Uddhav Thackeray-led Shiv Sena (UBT) 89 and Sharad Pawar's NCP (SP) 87 seats. Six seats were given to other MVA allies, while there was no clarity on three assembly segments.",mva congress contesting seat followed uddhav thackerayled shiv sena ubt sharad pawars ncp sp seat six seat given mva ally clarity three assembly segment
" As many as 7,995 candidates have filed 10,905 nominations with the Election Commission (EC) for the polls, a statement issued by the office of the state's Chief Electoral Officer (CEO) said on Tuesday (October 29, 2024).",many candidate filed nomination election commission ec poll statement issued office state chief electoral officer ceo said tuesday october
"Filing of nominations by candidates began on October 22 and the process ended on Tuesday (October 29, 2024).",filing nomination candidate began october process ended tuesday october
"The verification and scrutiny of nomination papers will take place on Wednesday (October 30, 2024) and the last date for withdrawal of candidatures is November 4 (till 3 pm).",verification scrutiny nomination paper take place wednesday october last date withdrawal candidature november till pm
"In 2019, a total of 5,543 nominations were received by the EC throughout the state and 3,239 candidates finally contested the assembly polls that year.",total nomination received ec throughout state candidate finally contested assembly poll year
"As many as 361 candidates have filed 506 nominations in Nashik district for the November 20 assembly elections. Of these, 255 candidates submitted their papers on Tuesday (October 29, 2024).",many candidate filed nomination nashik district november assembly election candidate submitted paper tuesday october
" 	Prominent candidates include cabinet ministers Dada Bhuse (Shiv Sena) from Malegaon Outer and Chhagan Bhujbal (NCP) from Yeola, Suhas Kande (Shiv Sena) from Nandgaon, Rahul Dhikle (BJP) from Nashik East, former MLA Vasant Gite (Shiv Sena-UBT) from Nashik Central and sitting MLA Saroj Ahire (NCP) from Deolali.",prominent candidate include cabinet minister dada bhuse shiv sena malegaon outer chhagan bhujbal ncp yeola suhas kande shiv sena nandgaon rahul dhikle bjp nashik east former mla vasant gite shiv senaubt nashik central sitting mla saroj ahire ncp deolali
State food and civil supplies minister Chhagan Bhujbal's nephew Samir resigned from the NCP and filed his nomination as an independent against sitting MLA Suhas Kande (Shiv Sena) from Nandgaon.,state food civil supply minister chhagan bhujbals nephew samir resigned ncp filed nomination independent sitting mla suhas kande shiv sena nandgaon
Polling will take place on November 20 and votes will be counted on November 23. ,polling take place november vote counted november
" Published - October 30, 2024 10:48 am IST",published october ist
"
                        Mumbai
                    
                            /                      
                        
                        Maharashtra
                    
                            /                      
                        
                        Maharashtra Assembly Elections 2024
                    
                            /                      
                        
                        election
                    ",mumbai maharashtra maharashtra assembly election election
"
					Copyright© 2024, THG PUBLISHING PVT LTD. or its affiliated companies. All rights reserved.
				",copyright thg publishing pvt ltd affiliated company right reserved
BACK TO TOP,back top
Terms & conditions  |  Institutional Subscriber,term condition institutional subscriber
"Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines   for posting your comments. ",comment english full sentence abusive personal please abide community guideline posting comment
"We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",migrated new commenting platform already registered user hindu logged may continue engage article account please register login post comment user access older comment logging account vuukle
To enjoy additional benefits,enjoy additional benefit
CONNECT WITH US,connect u
" Published - November 04, 2024 06:29 pm IST - New Delhi",published november pm ist new delhi
"
                    Congress leader Jairam Ramesh said that the Maharashtra chief ministerial pick would be decided in a ‘smooth’ manner after the results by the Maha Vikas Aghadi coalition partners.
                                      ",congress leader jairam ramesh said maharashtra chief ministerial pick would decided smooth manner result maha vikas aghadi coalition partner
"Asserting that the Maharashtra Assembly polls were not a ""kaun banega mukhyamantri"" contest but a fight to form an MVA government, Congress leader Jairam Ramesh on Monday (November 4, 2024) said the coalition's chief ministerial pick would be decided in a ""smooth"" manner after the results.",asserting maharashtra assembly poll kaun banega mukhyamantri contest fight form mva government congress leader jairam ramesh monday november said coalition chief ministerial pick would decided smooth manner result
"In an interview with PTI, he also said the Congress was confident of securing a decisive mandate in Jharkhand and Maharashtra but was ""extra watchful"" to avoid a repeat of any Haryana-like ""last-minute mischief"" by the BJP and the local administration.",interview pti also said congress confident securing decisive mandate jharkhand maharashtra extra watchful avoid repeat haryanalike lastminute mischief bjp local administration
"As the campaign heats up for the Assembly polls in Jharkhand and Maharashtra, Mr. Ramesh dismissed suggestions that the momentum had shifted away from the INDIA bloc following the Congress' defeat in Haryana and said the alliance was confident of securing a decisive mandate in the two states.",campaign heat assembly poll jharkhand maharashtra mr ramesh dismissed suggestion momentum shifted away india bloc following congress defeat haryana said alliance confident securing decisive mandate two state
"""It is true that the result in Haryana was unexpected as far as the Congress is concerned. We are confident in Maharashtra where we have a very strong alliance, and we are very confident in Jharkhand where also we are fighting in an alliance,"" the Congress general secretary in-charge communications said.",true result haryana unexpected far congress concerned confident maharashtra strong alliance confident jharkhand also fighting alliance congress general secretary incharge communication said
"""We are confident but we are extra watchful, we don't want a repeat of the Haryana situation in all the last-minute mischief that can be played by the BJP and the local administration. We are more watchful (this time),"" he said.",confident extra watchful dont want repeat haryana situation lastminute mischief played bjp local administration watchful time said
"The Congress has a positive agenda in Jharkhand and the alliance is running on the five years of achievements of the Jharkhand Mukti Morcha-Congress government, he said.",congress positive agenda jharkhand alliance running five year achievement jharkhand mukti morchacongress government said
"In Maharashtra, the Maha Vikas Aghadi (MVA) government was destabilised by the BJP after about two years and the Mahayuti dispensation ruled for three years, he said.",maharashtra maha vikas aghadi mva government destabilised bjp two year mahayuti dispensation ruled three year said
Ajit Pawar and several other MLAs broke away from the Nationalist Congress Party (NCP) led by his uncle Sharad Pawar and joined the Shiv Sena-BJP government in the state last year.,ajit pawar several mlas broke away nationalist congress party ncp led uncle sharad pawar joined shiv senabjp government state last year
"Prior to that, in June 2022, Eknath Shinde led a section of Shiv Sena MLAs to rebel against the leadership of then party president and chief minister Uddhav Thackeray. After the split, the Shinde-led party formed an alliance government with the BJP and he took over as chief minister.",prior june eknath shinde led section shiv sena mlas rebel leadership party president chief minister uddhav thackeray split shindeled party formed alliance government bjp took chief minister
"The Mahayuti government of the Shinde-led Shiv Sena, BJP, and Ajit Pawar's NCP has betrayed the people of Maharashtra, particularly the farmers and the weaker sections, Ramesh alleged.",mahayuti government shindeled shiv sena bjp ajit pawars ncp betrayed people maharashtra particularly farmer weaker section ramesh alleged
"""So we are confident but we are careful and watchful,"" he added.",confident careful watchful added
"On who the chief minister could be if the MVA won a majority, Ramesh said, ""We are not fighting a 'kaun banega mukhyamantri' (contest), we are fighting for — whose government will be formed — MVA or that of the Mahayuti. We are fighting for getting a decisive mandate for the MVA and I have absolutely no doubt in my mind that the selection of the CM face will be a smooth affair."" 	""But that is not the question, it is very premature, we have to get the majority,"" he added.",chief minister could mva majority ramesh said fighting kaun banega mukhyamantri contest fighting whose government formed mva mahayuti fighting getting decisive mandate mva absolutely doubt mind selection cm face smooth affair question premature get majority added
"Mr. Ramesh asserted that elections in India were not a beauty contest between individuals but a choice between political parties, political alliances, their agendas, their manifestoes and their performance.",mr ramesh asserted election india beauty contest individual choice political party political alliance agenda manifesto performance
"On the bickering over seat sharing among INDIA bloc allies in Jharkhand and Maharashtra, Ramesh said it was ""natural"" as there were a lot of aspirants.",bickering seat sharing among india bloc ally jharkhand maharashtra ramesh said natural lot aspirant
"It reflects the fact that there is a lot of enthusiasm for getting tickets from the Congress in both Jharkhand and Maharashtra, he claimed.",reflects fact lot enthusiasm getting ticket congress jharkhand maharashtra claimed
"""You look at the cracks that have appeared in the Mahayuti alliance. The difference between the BJP on the one side and Ajit Pawar's NCP on the other and between the BJP and Eknath Shinde's Shiv Sena are there (before the people). So, I don't  think one can single out the problems in the MVA alliance in seat sharing,"" Mr. Ramesh said.",look crack appeared mahayuti alliance difference bjp one side ajit pawars ncp bjp eknath shindes shiv sena people dont think one single problem mva alliance seat sharing mr ramesh said
"Mr. Ramesh acknowledged that it was a ""tough bargain"" among MVA constituents, noting that everybody wanted to maximise their position.",mr ramesh acknowledged tough bargain among mva constituent noting everybody wanted maximise position
"""On November 6, we are going to hold a big rally in Mumbai where all the leaders of the MVA, including Congress president Mallikarjun Kharge and (Leader of Opposition in the Lok Sabha) Rahul Gandhi, will be there. We will be releasing our guarantees for the elections,"" he said.",november going hold big rally mumbai leader mva including congress president mallikarjun kharge leader opposition lok sabha rahul gandhi releasing guarantee election said
"Asked about the criticism of the Congress over not contesting any of the bypolls in Uttar Pradesh, Mr. Ramesh said the party's position had been put forward by general secretary in-charge of the State Avinash Pande and Uttar Pradesh Congress Committee chief Ajay Rai.",asked criticism congress contesting bypolls uttar pradesh mr ramesh said party position put forward general secretary incharge state avinash pande uttar pradesh congress committee chief ajay rai
"""We have a very strong INDIA group in Uttar Pradesh that performed very well in the Lok Sabha elections. We worked cohesively and campaigned cohesively. This was done to strengthen our alliance an strengthen the hand of our INDIA partners. I don't think we are abdicating our political position in Uttar Pradesh,"" he asserted.",strong india group uttar pradesh performed well lok sabha election worked cohesively campaigned cohesively done strengthen alliance strengthen hand india partner dont think abdicating political position uttar pradesh asserted
Mr. Ramesh also accused the BJP of resorting to polarisation in its campaign in Jharkhand and Maharashtra.,mr ramesh also accused bjp resorting polarisation campaign jharkhand maharashtra
"""The choice of Himanta Biswa Sarma as chief campaigner was a clear signal as to which way the campaign was headed. The Assam Chief Minister is the master of communal rhetoric. He is the man who uses the  worst form of intimidatory and polarising language. We have complained to the Election Commission (EC) and I hope the EC takes note of the campaign speeches of the Assam chief minister,"" he said.",choice himanta biswa sarma chief campaigner clear signal way campaign headed assam chief minister master communal rhetoric man us worst form intimidatory polarising language complained election commission ec hope ec take note campaign speech assam chief minister said
"It is going to be a BJP campaign of ""polarisation, intimidation and spreading hatred and bigotry"" because the BJP has no answer to the popular programmes that have been implemented in an impactful manner in Jharkhand, he said.",going bjp campaign polarisation intimidation spreading hatred bigotry bjp answer popular programme implemented impactful manner jharkhand said
"The real issues in Maharashtra are that of the farmers, of ""caste census"", the issue of removing the 50 per cent cap on reservations for Scheduled Castes, Scheduled Tribes, and Other Backward Classes, Mr. Ramesh said.",real issue maharashtra farmer caste census issue removing per cent cap reservation scheduled caste scheduled tribe backward class mr ramesh said
"""These are all the issues the Congress had raised in the Lok Sabha elections and it continues to raise in the assembly elections as well. In Maharashtra, we also have the situation that a last number of investments that had been promised or were scheduled to have been invested in Maharashtra have been hijacked and taken away to Gujarat by Mr Modi,"" he alleged.",issue congress raised lok sabha election continues raise assembly election well maharashtra also situation last number investment promised scheduled invested maharashtra hijacked taken away gujarat mr modi alleged
"On Mr. Kharge's comments that Congress State units should make poll promises that were properly budgeted and the BJP's subsequent attack on the issue, Ramesh said, ""I don't think the Congress president at any time said that we are going to go back on what we had promised. All he said was what we had promised we must deliver, that's all he said."" 	""He said we must deliver and, whatever the cost, we have to bear it, that is the solemn commitment we have made to the people. That was distorted in a mischievous manner by the prime minister and his colleagues,"" the veteran Congress leader claimed.",mr kharges comment congress state unit make poll promise properly budgeted bjps subsequent attack issue ramesh said dont think congress president time said going go back promised said promised must deliver thats said said must deliver whatever cost bear solemn commitment made people distorted mischievous manner prime minister colleague veteran congress leader claimed
"Elections in Jharkhand will be held in two phases on November 13 and 20, while Maharashtra goes to the polls in a single phase on November 20. The results will be declared on November 23. ",election jharkhand held two phase november maharashtra go poll single phase november result declared november
" Published - November 04, 2024 06:29 pm IST",published november pm ist
"
                        Maharashtra Assembly Elections 2024
                    
                            /                      
                        
                        Jharkhand Assembly Elections 2024
                    
                            /                      
                        
                        Maharashtra
                    
                            /                      
                        
                        Jharkhand
                    
                            /                      
                        
                        Indian National Congress
                    
                            /                      
                        
                        Bharatiya Janata Party
                    
                            /                      
                        
                        alliances and coalition
                    ",maharashtra assembly election jharkhand assembly election maharashtra jharkhand indian national congress bharatiya janata party alliance coalition
"
					Copyright© 2024, THG PUBLISHING PVT LTD. or its affiliated companies. All rights reserved.
				",copyright thg publishing pvt ltd affiliated company right reserved
BACK TO TOP,back top
Terms & conditions  |  Institutional Subscriber,term condition institutional subscriber
"Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines   for posting your comments. ",comment english full sentence abusive personal please abide community guideline posting comment
"We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",migrated new commenting platform already registered user hindu logged may continue engage article account please register login post comment user access older comment logging account vuukle
"Asaduddin Owaisi’s party, All India Majlis-e-Ittehadul Muslimeen (AIMIM) is contesting only 16 seats in the November 20 Assembly polls in Maharashtra – the state where the party is considered to have one of the strongest bases outside Telangana. This is almost one-third of the number of seats (44) that it contested in Maharashtra in the 2019 polls, and even lesser than its 2014 figure of 22 in the state.",asaduddin owaisis party india majliseittehadul muslimeen aimim contesting seat november assembly poll maharashtra state party considered one strongest base outside telangana almost onethird number seat contested maharashtra poll even lesser figure state
"With its declining fortunes in the recent past, AIMIM sources said, the party has decided to focus on “winnability” than expansion of base in a sprawling state like Maharashtra.",declining fortune recent past aimim source said party decided focus winnability expansion base sprawling state like maharashtra
"In the multi-player Maharashtra elections marked with shifting loyalties in the existing coalitions, the AIMIM hopes it can become a “kingmaker” by getting even five to seven seats.",multiplayer maharashtra election marked shifting loyalty existing coalition aimim hope become kingmaker getting even five seven seat
"“We had received 230 applications for contests from ticket aspirants, but we decided that instead of big numbers we must focus on important seats which we can win. We are very sure that the seats we have selected are going to give us positive results,” said Imtiaz Jaleel, the AIMIM’s Maharashtra unit president and former Aurangabad MP, while speaking to The Indian Express.",received application contest ticket aspirant decided instead big number must focus important seat win sure seat selected going give u positive result said imtiaz jaleel aimims maharashtra unit president former aurangabad mp speaking indian express
"Jaleel is banking on the fluid nature of the Maharashtra polls where some new political alignments are to be tested at the hustings, the Maratha quota agitation would have an impact, and “confusion” prevails over the ideological affiliation of some of the leading contenders.",jaleel banking fluid nature maharashtra poll new political alignment tested hustings maratha quota agitation would impact confusion prevails ideological affiliation leading contender
"“This is a complex election. There are too many players. There is no certainty that the two main alliances (the ruling Mahayuti and the Opposition MVA) will survive post elections. It is likely no one will get a clear majority. In such a situation, any party that has five-seven MLAs will become kingmaker,” Jaleel claimed.",complex election many player certainty two main alliance ruling mahayuti opposition mva survive post election likely one get clear majority situation party fiveseven mlas become kingmaker jaleel claimed
"The AIMIM has fielded four Dalit candidates from as many SC-reserved seats with the hope to consolidate the Muslim-Dalit votes in its favour. Its campaign is raising issues like mob lynching, minority persecution and hijab, which concern a significant section of the Muslim community.",aimim fielded four dalit candidate many screserved seat hope consolidate muslimdalit vote favour campaign raising issue like mob lynching minority persecution hijab concern significant section muslim community
